hp_id	english	french
HP:0020102	Pneumocystis jirovecii pneumonia	Pneumonie à Pneumocystis jirovecii
HP:0020103	Invasive pulmonary aspergillosis	Aspergillose pulmonaire invasive
HP:0020104	Unusual protozoan infection	Infection inhabituelle à protozoaires
HP:0020105	Severe toxoplasmosis	Toxoplasmose sévère
HP:0020106	Severe giardiasis	Giardiase sévère
HP:0020107	Unusual helminthic infection	Infection helminthique inhabituelle
HP:0020108	Unusual parasitic infection	Infection parasitaire inhabituelle
HP:0020109	Glomerular basement membrane duplication	Duplication de la membrane basale glomérulaire
HP:0020110	Bone fracture	Fracture osseuse
HP:0020111	Abnormal regulatory T cell proportion	Proportion anormale de lymphocytes T régulateurs
HP:0020112	Increased regulatory T cell proportion	Augmentation de la proportion de lymphocytes T régulateurs
HP:0020113	Decreased regulatory T cell proportion	Diminution de la proportion de lymphocytes T régulateurs
HP:0020114	Persistent human papillomavirus infection	Infection persistante à papillomavirus humain
HP:0020115	Abnormal CD8+ T cell subset proportion	Proportion anormale du sous-ensemble de lymphocytes T CD8+
HP:0020116	Subcutaneous abscess	Abcès sous-cutané
HP:0020117	Hypoplastic dermoepidermal hemidesmosomes	Hémidesmosomes dermo-épidermiques hypoplasiques
HP:0020118	Radial artery aplasia	Aplasie de l'artère radiale
HP:0020119	Abnormal retinal nerve fiber layer morphology	Morphologie anormale de la couche de fibres nerveuses rétiniennes
HP:0020120	Retinal nerve fiber edema	Œdème des fibres nerveuses rétiniennes
HP:0020122	Bite cells	Cellules de morsure
HP:0020123	Tympanosclerosis	Tympanosclérose
HP:0020124	Echopraxia	Échopraxie
HP:0020125	Spontaneous conjunctival filtering bleb	Bulle filtrante conjonctivale spontanée
HP:0020126	Prostate mass	Masse prostatique
HP:0020127	Periarticular soft-tissue mass	Masse des tissus mous périarticulaires
HP:0020128	Aplasia of the olfactory tract	Aplasie du tractus olfactif
HP:0020129	Abnormal urine protein level	Niveau anormal de protéines urinaires
HP:0020130	Increased urinary neutrophil gelatinase-associated lipocalin	Augmentation de la lipocaline associée à la gélatinase des neutrophiles urinaires
HP:0020131	Abnormal tubular basement membrane morphology	Morphologie anormale de la membrane basale tubulaire
HP:0020132	Thickening of the tubular basement membrane	Épaississement de la membrane basale tubulaire
HP:0020133	Podocyte hypertrophy	Hypertrophie podocytaire
HP:0020134	Increased urine neutrophil count	Augmentation du nombre de neutrophiles dans l'urine
HP:0020135	Myofibromatosis	Myofibromatose
HP:0020136	Anticardiolipin IgG antibody positivity	Positivité des anticorps anticardiolipine IgG
HP:0020137	Anticardiolipin IgM antibody positivity	Positivité des anticorps IgM anticardiolipine
HP:0020141	Blood pressure substantially higher in legs than arms	Tension artérielle nettement plus élevée dans les jambes que dans les bras
HP:0020142	Blood pressure substantially higher in arms than legs	Tension artérielle nettement plus élevée dans les bras que dans les jambes
HP:0020143	Tracheal duplication cyst	Kyste de duplication trachéale
HP:0020144	Calcium phosphate crystalluria	Cristallurie du phosphate de calcium
HP:0020145	Calcium oxalate crystalluria	Cristallurie d'oxalate de calcium
HP:0020146	Calcium carbonate crystalluria	Cristallurie de carbonate de calcium
HP:0020147	2-Methylbutyryl glycinuria	2-méthylbutyrylglycinurie
HP:0020148	Increased circulating mead acid level	Augmentation du niveau d’acide hydromel en circulation
HP:0020149	Elevated circulating succinate	Succinate circulant élevé
HP:0020150	Elevated urinary uromodulin level	Niveau d'uromoduline urinaire élevé
HP:0020151	Anti-dsDNA antibody positivity	Positivité des anticorps anti-ADNdb
HP:0020152	Distal joint hypermobility	Hypermobilité articulaire distale
HP:0020153	Positive blood 1,3 beta glucan test	Test sanguin positif au 1,3 bêta-glucane
HP:0020154	Nevus comedonicus	Naevus comédonique
HP:0020155	Abnormal oocyte morphology	Morphologie anormale des ovocytes
HP:0020156	Abnormal zona pellucida morphology	Morphologie anormale de la zone pellucide
HP:0020157	Thin zona pellucida	Zone pellucide fine
HP:0020158	Increased circulating adrenic acid concentration	Augmentation de la concentration d’acide adrénique circulant
HP:0020159	Reduced response to gonadotropin-releasing hormone stimulation test	Réponse réduite au test de stimulation de la gonadolibérine
HP:0020160	GM1-ganglioside accumulation	Accumulation de GM1-ganglioside
HP:0020161	Branch retinal artery occlusion	Occlusion de l'artère rétinienne
HP:0020163	Cilioretinal arteriolar hypoperfusion	Hypoperfusion artériolaire ciliorétinienne
HP:0020164	Ophthalmic artery occlusion	Occlusion de l'artère ophtalmique
HP:0020165	Branch retinal vein occlusion	Occlusion de la veine rétinienne
HP:0020166	Central retinal vein occlusion	Occlusion de la veine centrale de la rétine
HP:0020167	Hemiretinal vein occlusion	Occlusion de la veine hémirétinienne
HP:0020169	Abnormal drug response	Réponse anormale au médicament
HP:0020170	Increased blood drug concentration	Augmentation de la concentration de médicaments dans le sang
HP:0020171	Decreased blood drug concentration	Diminution de la concentration sanguine de médicaments
HP:0020172	Adverse drug response	Réponse indésirable aux médicaments
HP:0020173	Reduced drug efficacy	Efficacité réduite des médicaments
HP:0020174	Refractory drug response	Réponse aux médicaments réfractaires
HP:0020175	Reduced circulating cholinesterase activity	Activité réduite de la cholinestérase circulante
HP:0020176	Cholesterol crystalluria	Cristallurie du cholestérol
HP:0020177	Abnormal proportion of CD8-positive TEMRA T cells	Proportion anormale de cellules T TEMRA CD8 positives
HP:0020178	Abnormal dendritic cell count	Nombre anormal de cellules dendritiques
HP:0020179	Abnormal circulating haptoglobin concentration	Concentration anormale d'haptoglobine circulante
HP:0020180	Elevated haptoglobin level	Niveau d'haptoglobine élevé
HP:0020181	Reduced haptoglobin level	Niveau d'haptoglobine réduit
HP:0020182	Abnormal circulating A-type atrial natriuretic peptide concentration	Concentration anormale de peptide natriurétique auriculaire de type A circulant
HP:0020183	Increased circulating A-type natriuretic peptide concentration	Augmentation de la concentration en peptide natriurétique de type A circulant
HP:0020184	Decreased circulating A-type natriuretic peptide concentration	Diminution de la concentration en peptide natriurétique de type A circulant
HP:0020185	Superior cerebellar dysplasia	Dysplasie cérébelleuse supérieure
HP:0020186	Multilobulated spleen	Rate multilobulée
HP:0020187	Thick pachygyria	Pachygyrie épaisse
HP:0020188	Anterior predominant pachygyria with 5-10 mm cortical thickness	Pachygyrie antérieure prédominante avec une épaisseur corticale de 5 à 10 mm
HP:0020189	Posterior predominant thick cortex pachygyria	Pachygyrie du cortex épais postérieur prédominant
HP:0020190	Perisylvian predominant thick cortex pachygyria	Pachygyrie à cortex épais à prédominance périsylvienne
HP:0020191	Anterior predominant thick cortex pachygyria	Pachygyrie du cortex épais antérieur prédominant
HP:0020192	Pachygyria with 5-10 mm cortical thickness	Pachygyrie avec une épaisseur corticale de 5 à 10 mm
HP:0020193	Prolonged reptilase time	Temps de reptilase prolongé
HP:0020194	IgA heavy chain paraproteinemia	Paraprotéinémie à chaînes lourdes IgA
HP:0020195	IgG heavy chain paraproteinemia	Paraprotéinémie à chaînes lourdes IgG
HP:0020196	IgM heavy chain paraproteinemia	Paraprotéinémie à chaînes lourdes IgM
HP:0020197	Increased circulating arachidonic acid concentration	Augmentation de la concentration en acide arachidonique circulant
HP:0020198	Abnormal circulating 18-hydroxycorticosterone level	Taux circulant anormal de 18-hydroxycorticostérone
HP:0020199	Decreased circulating 18-hydroxycortisone level	Diminution du taux circulant de 18-hydroxycortisone
HP:0020200	Increased circulating 18-hydroxycortisone level	Augmentation du taux circulant de 18-hydroxycortisone
HP:0020201	Abnormal sarcomere morphology	Morphologie anormale des sarcomères
HP:0020202	Abnormal Z disk morphology	Morphologie anormale du disque Z
HP:0020203	Z-band streaming	Streaming en bande Z
HP:0020204	Tubulointerstitial bacterial infiltration	Infiltration bactérienne tubulo-interstitielle
HP:0020205	Tubulointerstitial fungal infiltration	Infiltration fongique tubulo-interstitielle
HP:0020206	Simple ear	Oreille simple
HP:0020207	Reflex seizure	Crise réflexe
HP:0020208	Eating-induced seizure	Crise induite par l'alimentation
HP:0020209	Hot water-induced seizure	Crise provoquée par l'eau chaude
HP:0020210	Praxis-induced seizure	Crise induite par la praxis
HP:0020211	Proprioceptive-induced seizure	Crise proprioceptive
HP:0020212	Reading-induced seizure	Crise induite par la lecture
HP:0020213	Somatosensory-induced seizure	Crise induite par la somatosensorielle
HP:0020214	Startle-induced seizure	Crise provoquée par un sursaut
HP:0020215	Thinking-induced seizure	Crise induite par la pensée
HP:0020216	Visually-induced seizure	Crise induite visuellement
HP:0020217	Focal aware motor seizure	Crise motrice focale consciente
HP:0020218	Focal aware atonic seizure	Crise atonique consciente focale
HP:0020219	Motor seizure	Saisie moteur
HP:0020220	Focal atonic seizure	Crise atonique focale
HP:0020221	Clonic seizure	Crise clonique
HP:0020222	Hypohomocysteinemia	Hypohomocystéinémie
HP:0020223	Dermal sinus tract	Sinus cutané
HP:0020224	Mammary duct ectasia	Ectasie des canaux mammaires
HP:0020225	Breast abscess	Abcès du sein
HP:0020226	Nipple tenderness	Sensibilité des mamelons
HP:0020227	Floating gallbladder	Vésicule biliaire flottante
HP:0020232	Abnormal Q wave	Onde Q anormale
HP:0020252	Abnormal bursal fluid morphology	Morphologie anormale du liquide de la bourse
HP:0020256	Elevated bursal fluid leukocyte count	Nombre élevé de leucocytes dans le liquide de la bourse
HP:0020259	Decreased biparietal diameter	Diminution du diamètre bipariétal
HP:0020260	Increased biparietal diameter	Augmentation du diamètre bipariétal
HP:0020297	Abnormal occipitofrontal diameter	Diamètre occipitofrontal anormal
HP:0020298	Decreased occipitofrontal diameter	Diminution du diamètre occipitofrontal
HP:0020299	Increased occipitofrontal diameter	Augmentation du diamètre occipitofrontal
HP:0020300	Abnormal elbow morphology	Morphologie anormale du coude
HP:0020301	Abnormal elbow physiology	Physiologie anormale du coude
HP:0020302	Restrictive eating	Alimentation restrictive
HP:0020303	Abnormal fetal abdominal circumference	Circonférence abdominale fœtale anormale
HP:0020304	Increased fetal abdominal circumference	Augmentation de la circonférence abdominale fœtale
HP:0020305	Abnormal fetal head circumference	Tour de tête fœtal anormal
HP:0020306	Decreased fetal head circumference	Diminution du périmètre crânien fœtal
HP:0020307	Increased fetal head circumference	Augmentation du périmètre crânien fœtal
HP:0020308	Increased anteroposterior lens thickness	Augmentation de l'épaisseur de la lentille antéropostérieure
HP:0020309	Ankle instability	Instabilité de la cheville
HP:0020310	Retinal phlebitis	Phlébite rétinienne
HP:0020311	Ophthalmic artery hypoperfusion	Hypoperfusion de l'artère ophtalmique
HP:0020312	Focal hyperpigmented area associated with subretinal scar tissue	Zone focale hyperpigmentée associée à du tissu cicatriciel sous-rétinien
HP:0020313	Discrete fundus hypopigmentation	Hypopigmentation discrète du fond d'œil
HP:0020314	Macular pseudohole	Pseudotrou maculaire
HP:0020315	Lamellar macular hole	Trou maculaire lamellaire
HP:0020316	Middle cerebral artery berry aneurysm	Anévrisme des baies de l'artère cérébrale moyenne
HP:0025002	Abnormal cecum morphology	Morphologie anormale du caecum
HP:0025003	Flail chest	Coffre à fléau
HP:0025036	Type I radial ray deficiency	Déficit des rayons radiaux de type I
HP:0025054	Type II radial ray deficiency	Déficit des rayons radiaux de type II
HP:0025055	Type III radial ray deficiency	Déficit des rayons radiaux de type III
HP:0025056	Type IV radial ray deficiency	Déficit des rayons radiaux de type IV
HP:0025067	Recurrent sepsis	Sepsie récurrente
HP:0025091	Wrist sign	Signe du poignet
HP:0025111	Acquired aphakia	Aphakie acquise
HP:0025120	Abnormal circulating reverse T3 concentration	Concentration anormale de T3 inverse circulante
HP:0025183	Abnormal CD4+ T cell proportion	Proportion anormale de lymphocytes T CD4+
HP:0025184	Arousal parasomnia	Parasomnie d'éveil
HP:0025187	Sleep talking	Dormir en parlant
HP:0025189	Hypnic jerks	Secousses hypniques
HP:0025199	Fragmented sleep	Un sommeil fragmenté
HP:0025288	Excessive sleep	Sommeil excessif
HP:0025298	Extended nighttime sleep	Sommeil nocturne prolongé
HP:0025299	Frequent napping	Des siestes fréquentes
HP:0025365	Free-running sleep pattern	Modèle de sommeil libre
HP:0025538	Palmar edema	Œdème palmaire
HP:0025615	Abscess	Abcès
HP:0025616	Sterile abscess	Abcès stérile
HP:0025617	Abnormal plasma cell count	Numération anormale de plasmocytes
HP:0025618	Reduced plasma cell count	Nombre réduit de plasmocytes
HP:0025619	Elevated plasma cell count	Nombre élevé de plasmocytes
HP:0025624	Decreased CD4+ effector memory T cell proportion	Diminution de la proportion de lymphocytes T mémoire effecteurs CD4+
HP:0025625	Increased CD4+ effector memory T cell proportion	Augmentation de la proportion de lymphocytes T mémoire effecteurs CD4+
HP:0025626	Increased circulating oleate level	Augmentation du niveau d’oléate circulant
HP:0025627	Increased circulating octadecanoate level	Augmentation du niveau d'octadécanoate en circulation
HP:0025628	Increased circulating myristoleate level	Augmentation du taux de myristoléate circulant
HP:0025629	Anti-myelin-associated glycoprotein antibody positivity	Positivité des anticorps anti-glycoprotéine associée à la myéline
HP:0025630	Argininosuccinic aciduria	Acidurie argininosuccinique
HP:0025631	Alpha-aminobutyric aciduria	Acidurie alpha-aminobutyrique
HP:0025633	Abnormal ureter morphology	Morphologie anormale de l'uretère
HP:0025634	Abnormal ureter physiology	Physiologie anormale de l'uretère
HP:0025635	Ureteral polyp	Polype urétéral
HP:0025636	Endometritis	Endométrite
HP:0025637	Vasospasm	Vasospasme
HP:0025638	Elevated urinary N-butyrylglycine	N-butyrylglycine urinaire élevée
HP:0025639	Increased urinary zinc level	Augmentation du niveau de zinc urinaire
HP:0025640	Abnormal urinary mineral level	Niveau minéral urinaire anormal
HP:0025641	Elevated circulating glycolate concentration	Concentration élevée de glycolate circulant
HP:0025643	Tarlov cyst	Kyste de Tarlov
HP:0025644	Fixation-off epileptiform discharges	Décharges épileptiformes sans fixation
HP:0025646	Bilateral polymicrogyria	Polymicrogyrie bilatérale
HP:0025647	Steroid-sensitive nephrotic syndrome	Syndrome néphrotique corticosensible
HP:0025648	Steroid-sensitive nephrotic syndrome with infrequent relapses	Syndrome néphrotique corticosensible avec rechutes peu fréquentes
HP:0025649	Steroid-sensitive nephrotic syndrome with frequent relapses	Syndrome néphrotique corticosensible avec rechutes fréquentes
HP:0025650	Steroid-dependent nephrotic syndrome	Syndrome néphrotique stéroïdo-dépendant
HP:0025652	Abnormal placental adhesion into the uterine wall	Adhérence placentaire anormale dans la paroi utérine
HP:0025653	Placenta percreta	Placenta percreta
HP:0025654	Placenta accreta	Placenta accreta
HP:0025655	Placenta increta	Placenta incréta
HP:0025656	Prenatal double bubble sign	Signe prénatal de double bulle
HP:0025657	Abnormal umbilical blood flow measurement	Mesure anormale du débit sanguin ombilical
HP:0025659	Decreased circulating creatine kinase concentration	Diminution de la concentration de créatine kinase circulante
HP:0025660	Chiari type II malformation	Malformation de Chiari type II
HP:0025661	Chiari type III malformation	Malformation de Chiari type III
HP:0025662	Abnormal fetal skeletal morphology	Morphologie squelettique fœtale anormale
HP:0025663	Reduced fetal femur/foot length ratio	Rapport réduit de la longueur du fémur fœtal/du pied
HP:0025664	Moderate to late preterm birth	Accouchement modérément ou peu prématuré
HP:0025665	Extremely preterm birth	Naissance extrêmement prématurée
HP:0025666	Very preterm birth	Naissance très prématurée
HP:0025667	Fetal neck anomaly	Anomalie du cou fœtal
HP:0025668	Abnormal neck morphology	Morphologie anormale du cou
HP:0025669	Abnormal neck physiology	Physiologie anormale du cou
HP:0025670	Syntelencephaly	Syntélencéphalie
HP:0025671	Fetal pericardial effusion	Épanchement péricardique fœtal
HP:0025672	Fetal skin edema	Œdème cutané fœtal
HP:0025673	Loculated ascites	Ascite localisée
HP:0025674	Meconium pseudocyst	Pseudokyste méconial
HP:0025675	Premature closure of the ductus arteriosus	Fermeture prématurée du canal artériel
HP:0025676	Fetal pleural effusion	Épanchement pleural fœtal
HP:0025677	Fetal chylothorax	Chylothorax fœtal
HP:0025678	Fetal hydrothorax	Hydrothorax fœtal
HP:0025679	Diskitis	Diskite
HP:0025680	Compound muscle action potential amplitude facilitation	Facilitation de l’amplitude du potentiel d’action musculaire composé
HP:0025681	Distal clavicular thinning	Amincissement claviculaire distal
HP:0025682	Crouch gait	Démarche accroupie
HP:0025683	Abnormal amyloid beta 42 peptide CSF concentration	Concentration anormale du peptide amyloïde bêta 42 dans le LCR
HP:0025684	Decreased amyloid beta 42 peptide CSF concentration	Diminution de la concentration du peptide amyloïde bêta 42 dans le LCR
HP:0025685	Increased amyloid beta 42 peptide CSF concentration	Augmentation de la concentration du peptide amyloïde bêta 42 dans le LCR
HP:0025686	Abnormal amyloid beta 40 peptide CSF concentration	Concentration anormale du peptide amyloïde bêta 40 dans le LCR
HP:0025687	Increased amyloid beta 40 peptide CSF concentration	Augmentation de la concentration du peptide amyloïde bêta 40 dans le LCR
HP:0025688	Abnormal amyloid beta peptide CSF concentration	Concentration anormale de peptide bêta-amyloïde dans le LCR
HP:0025689	Extra-abdominal umbilical vein varix	Varix de la veine ombilicale extra-abdominale
HP:0025690	Fetal intra-abdominal umbilical vein varix	Varix de la veine ombilicale intra-abdominale fœtale
HP:0025691	Impaired fasting glucose	Glycémie à jeun altérée
HP:0025692	Atelencephaly	Atéléncéphalie
HP:0025693	Pituitary macroadenoma	Macroadénome hypophysaire
HP:0025694	Pituitary microadenoma	Microadénome hypophysaire
HP:0025695	Mucus plug	Bouchon muqueux
HP:0025696	Airway casts	Moulages des voies respiratoires
HP:0025697	Fibrin casts	Moulages de fibrine
HP:0025698	Mucin casts	Moulages de mucine
HP:0025699	Perisylvian FDG hypermetabolism	Hypermétabolisme périsylvien FDG
HP:0025700	Anhydramnios	Anhydramnios
HP:0025701	Distended jugular lymphatic sacs	Sacs lymphatiques jugulaires distendus
HP:0025702	Type 1 schizencephaly	Schizencéphalie de type 1
HP:0025703	Type 2 schizencephaly	Schizencéphalie de type 2
HP:0025704	Type 3 schizencephaly	Schizencéphalie de type 3
HP:0025705	Abnormal fetal nasal bone visualization	Visualisation anormale des os nasaux fœtaux
HP:0025706	Absent fetal nasal bone	Os nasal fœtal absent
HP:0025707	Hypoplastic fetal nasal bone	Os nasal fœtal hypoplasique
HP:0025711	Convergence-retraction nystagmus	Nystagmus de convergence-rétraction
HP:0025712	Spontaneous chorioamniotic separation	Séparation chorioamniotique spontanée
HP:0025713	Neurite dystrophy	Dystrophie des neurites
HP:0025714	Cerebral cortical microinfarct	Micro-infarctus cortical cérébral
HP:0025715	Abnormal umbilical artery doppler waveform during pregnancy	Forme d'onde Doppler anormale de l'artère ombilicale pendant la grossesse
HP:0025716	Fetal anemia	Anémie fœtale
HP:0025717	Skeletal muscle autophagosome accumulation	Accumulation d’autophagosomes dans les muscles squelettiques
HP:0025718	Skeletal muscle hyperechogenicity	Hyperéchogénicité des muscles squelettiques
HP:0025719	Maternal vascular malperfusion	Malperfusion vasculaire maternelle
HP:0025720	Limited horizontal extraocular movement	Mouvement extraoculaire horizontal limité
HP:0025721	Limited vertical extraocular movement	Mouvement extraoculaire vertical limité
HP:0025722	Cerebral infarct	Infarctus cérébral
HP:0025723	Abnormal fetal skin morphology	Morphologie anormale de la peau fœtale
HP:0025724	Caseous vernix-like desquamation	Desquamation caséeuse de type vernix
HP:0025725	Type 1 congenital pulmonary airway malformation	Malformation congénitale des voies respiratoires pulmonaires de type 1
HP:0025726	Type 2 congenital pulmonary airway malformation	Malformation congénitale des voies respiratoires pulmonaires de type 2
HP:0025727	Type 3 congenital pulmonary airway malformation	Malformation congénitale des voies respiratoires pulmonaires de type 3
HP:0025728	Periventricular pseudocyst	Pseudokyste périventriculaire
HP:0025729	Fetal vascular malperfusion	Malperfusion vasculaire fœtale
HP:0025730	Foramen ovale aneurysm	Anévrisme du foramen ovale
HP:0025731	Anti-glycosylphosphatidylinositol anchored high-density lipoprotein binding protein 1 antibody positivity	Positivité des anticorps anti-glycosylphosphatidylinositol ancrés à la protéine 1 de liaison aux lipoprotéines de haute densité
HP:0025732	Abnormal social development	Développement social anormal
HP:0025733	Streak gonad	Gonade striée
HP:0025734	Elevated urinary 5-hydroxyhexanoic acid level	Niveau urinaire élevé d’acide 5-hydroxyhexanoïque
HP:0025735	Abnormal third cranial nerve morphology	Morphologie anormale du troisième nerf crânien
HP:0025736	Long-bone fracture	Fracture des os longs
HP:0025737	Abnormal subthalamic nucleus morphology	Morphologie anormale du noyau sous-thalamique
HP:0025738	Ring-enhancing cerebral lesion	Lésion cérébrale rehaussant l'anneau
HP:0025739	Optic nerve mass	Masse du nerf optique
HP:0025740	Elevated brain succinate level by MRS	Niveau élevé de succinate cérébral par MRS
HP:0025741	Brainstem lucency	Lucence du tronc cérébral
HP:0025742	Elevated urine L-xylulose level	Taux urinaire élevé de L-xylulose
HP:0025743	Elevated urine biliverdin level	Niveau élevé de biliverdine dans l'urine
HP:0025744	Elevated urine dodecanedioic acid level	Niveau élevé d'acide dodécanedioïque dans l'urine
HP:0025745	Abnormal urine amino acid level	Niveau anormal d’acides aminés dans l’urine
HP:0025746	Diminished urine glutamine level	Diminution du taux de glutamine dans les urines
HP:0025747	Tongue spasticity	Spasticité de la langue
HP:0025748	Restricted tongue movement	Mouvement de la langue restreint
HP:0025749	Asymmetric blood pressure between limbs	Pression artérielle asymétrique entre les membres
HP:0025750	Asymmetric blood pressure between legs	Pression artérielle asymétrique entre les jambes
HP:0025751	Reduced anterior scleral thickness	Épaisseur sclérale antérieure réduite
HP:0025752	Reduced posterior scleral thickness	Épaisseur sclérale postérieure réduite
HP:0025753	Elevated urinary 2-aminoisobutyric acid	Acide 2-aminoisobutyrique urinaire élevé
HP:0025754	Reduced beta-hexosaminidase A activity	Activité bêta-hexosaminidase A réduite
HP:0025755	Abnormal nail shape	Forme anormale des ongles
HP:0025756	Abnormal nail attachment	Fixation anormale des ongles
HP:0025757	Abnormal nail surface	Surface anormale de l’ongle
HP:0025762	Anti-ganglionic acetylcholine receptor antibody positivity	Positivité des anticorps anti-récepteur ganglionnaire de l'acétylcholine
HP:0025763	Positive urine anion gap	Trou anionique urinaire positif
HP:0025764	Nasoethmoidal encephalocele	Encéphalocèle nasoethmoïdale
HP:0025766	Abnormal affect	Effet anormal
HP:0025769	Disordered formal thought process	Processus de pensée formel désordonné
HP:0025770	2-3 finger osseus syndactyly	Syndactylie osseuse à 2-3 doigts
HP:0025771	Ruminations	Ruminations
HP:0025772	Abnormal lexical patterns	Modèles lexicaux anormaux
HP:0025773	Abnormal semantics	Sémantique anormale
HP:0025774	Idiosyncratic use of words	Utilisation idiosyncrasique des mots
HP:0025775	Tangential speech	Discours tangentiel
HP:0025776	Thought insertion	Insertion de pensée
HP:0025777	Thought broadcasting	Diffusion de la pensée
HP:0025778	Thought echo	Écho de pensée
HP:0025779	Disorder of thought content	Trouble du contenu de la pensée
HP:0025780	Abnormal volitional state	État volitionnel anormal
HP:0025781	Abnormally rapid thought process	Processus de pensée anormalement rapide
HP:0025782	Abnormal syntax	Syntaxe anormale
HP:0025783	Diagnostic behavioral phenotype	Phénotype comportemental diagnostique
HP:0025784	Word salad	Salade de mots
HP:0025785	Abnormal preoccupation	Préoccupation anormale
HP:0025786	Intraosseous lipoma	Lipome intra-osseux
HP:0025787	Paraphilia	Paraphilie
HP:0025791	Delusion of guilt	Délire de culpabilité
HP:0025792	Abnormal cognitive process	Processus cognitif anormal
HP:0025793	Abnormal change in sexual drive	Changement anormal de la libido
